id,title,department,seniority_level,employment_type,location,remote_type,salary_min,salary_max,currency,years_experience,required_skills,description
JP-001,Software Engineer,Engineering,Mid,Full-time,"Colombo, Sri Lanka",Hybrid,180000,260000,LKR,2-4,Python;Django;PostgreSQL;REST APIs;Docker,"We are looking for a Software Engineer to join our growing product team. You will design, build, and maintain backend services that power our core platform, collaborate closely with product and QA, and help shape our engineering practices as we scale. The ideal candidate has hands-on experience building REST APIs in Python (Django or FastAPI), is comfortable with relational databases, and has some exposure to containerized deployments. You will participate in code reviews, write tests, and contribute to architecture discussions. We offer a hybrid work model, annual learning budget, and a supportive engineering culture that values clean code and mentorship over hero-culture overtime."
JP-002,Senior Data Scientist,Data & Analytics,Senior,Full-time,"Colombo, Sri Lanka",Remote,350000,480000,LKR,5-8,Python;Scikit-learn;SQL;A/B Testing;MLOps,"Our Data & Analytics team is hiring a Senior Data Scientist to lead predictive modelling initiatives across churn, pricing, and demand forecasting. You will own projects end-to-end: framing the business problem, building and validating models, and partnering with engineering to ship them into production. We expect strong Python and SQL skills, experience running rigorous A/B tests, and familiarity with MLOps practices for model monitoring. You'll also mentor two junior data scientists and present findings directly to leadership. This is a fully remote role open to candidates anywhere in Sri Lanka, with quarterly in-person offsites."
JP-003,Data Analyst Intern,Data & Analytics,Intern,Internship,"Kandy, Sri Lanka",On-site,25000,35000,LKR,0,Excel;SQL basics;Power BI;Statistics,"A 6-month internship for a final-year undergraduate interested in data analytics. You will support the team by cleaning datasets, building simple dashboards in Power BI, and drafting weekly summary reports for stakeholders. No professional experience is required, but comfort with spreadsheets, basic SQL, and an interest in statistics is expected. This is a great first step for someone who wants to build a portfolio of real business analytics work under the guidance of a senior analyst. On-site presence in our Kandy office is required three days a week."
JP-004,DevOps Engineer,Engineering,Mid,Full-time,"Colombo, Sri Lanka",Hybrid,220000,300000,LKR,3-5,AWS;Kubernetes;Terraform;CI/CD;Linux,"Join our platform team as a DevOps Engineer responsible for the reliability and scalability of our AWS-hosted infrastructure. You'll manage Kubernetes clusters, build and improve CI/CD pipelines, and codify infrastructure with Terraform. Strong Linux fundamentals and an on-call rotation mindset are essential. You will also work with security to harden our environments and reduce cloud spend through smarter autoscaling. Prior experience supporting a production system with real users is strongly preferred."
JP-005,HR Business Partner,Human Resources,Senior,Full-time,"Colombo, Sri Lanka",On-site,250000,320000,LKR,6-10,Employee Relations;Performance Management;Labor Law;Coaching,"We're seeking an experienced HR Business Partner to act as a strategic advisor to two of our business units. You will guide managers through performance management cycles, resolve employee relations issues with sound judgement, and ensure our practices comply with local labor law. The right candidate builds trust quickly, coaches leaders through difficult conversations, and can translate business goals into people strategy. This is an on-site role based at our Colombo head office, with occasional travel to regional branches."
JP-006,Sales Executive,Sales,Junior,Full-time,"Galle, Sri Lanka",On-site,90000,140000,LKR,1-2,Cold Calling;CRM (HubSpot);Negotiation;B2B Sales,"We're expanding our southern-region sales team and looking for an energetic Sales Executive to generate and close new B2B business. Responsibilities include cold outreach, running product demos, negotiating contracts, and maintaining accurate pipeline records in HubSpot. A base salary plus uncapped commission structure rewards top performers well beyond the listed range. Prior sales experience is a plus but not required for candidates who can demonstrate strong communication skills and resilience."
JP-007,Marketing Manager,Marketing,Mid,Full-time,"Colombo, Sri Lanka",Hybrid,200000,270000,LKR,4-6,Content Strategy;SEO;Google Analytics;Campaign Management,"As Marketing Manager you will own our digital marketing calendar across content, SEO, and paid channels. You'll plan and execute campaigns, analyze performance in Google Analytics, and work with an external design agency to keep brand output consistent. We're looking for someone who can both write compelling copy and read a funnel report, translating data into next quarter's content plan. You'll manage one junior marketing executive directly."
JP-008,Customer Support Specialist,Customer Support,Junior,Full-time,Remote (Sri Lanka),Remote,95000,125000,LKR,0-2,Zendesk;Written Communication;Troubleshooting;Empathy,"Be the first point of contact for our customers via chat and email. You will troubleshoot product issues, escalate bugs to engineering with clear reproduction steps, and maintain a friendly, patient tone even in frustrating situations. We use Zendesk for ticketing and measure success by resolution time and customer satisfaction score, not just ticket volume. This role is fully remote with a rotating shift schedule covering Sri Lanka and UK business hours."
JP-009,Product Manager,Product,Senior,Full-time,"Colombo, Sri Lanka",Hybrid,320000,420000,LKR,5-8,Product Discovery;Roadmapping;SQL;Stakeholder Management,"We're hiring a Senior Product Manager to own our core analytics product line. You will run discovery interviews with customers, prioritize a roadmap balancing technical debt and new features, and write clear specs that engineering can execute against without constant clarification. Comfort querying data directly in SQL to validate hypotheses is expected. You'll report to the Head of Product and work closely with design, engineering, and sales."
JP-010,Graphic Designer,Marketing,Junior,Contract,"Colombo, Sri Lanka",Remote,70000,110000,LKR,1-3,Figma;Adobe Illustrator;Brand Guidelines;Social Media Design,"We need a Graphic Designer on a 6-month contract to produce social media assets, presentation decks, and occasional print collateral. You'll work from our existing brand guidelines but should bring a sharp eye for what performs well on Instagram and LinkedIn. Deliver a mix of static and short animated assets in Figma and Adobe tools, turning around requests within a 48-hour SLA. Portfolio review is part of the interview process."
JP-011,Content Writer,Marketing,Mid,Part-time,Remote (Sri Lanka),Remote,60000,90000,LKR,2-4,SEO Writing;Editing;Research;WordPress,"Our blog needs a steady hand. This part-time Content Writer role involves researching and drafting two long-form articles per week on B2B SaaS topics, optimizing for SEO without sacrificing readability, and publishing directly through WordPress. You'll work from an editorial calendar set collaboratively with the Marketing Manager and receive feedback through tracked-change reviews. Prior experience writing for a technical or business audience is required."
